Displacement:0,Displacement:1,Displacement:2,Points:0,Points:1,Points:2,vtkOriginalIndices
-0.000225162,-0.000170757,-0.00010497,0.00773519,0.0288316,0.0452199,266
-0.000239131,-0.000166468,-7.56399e-05,0.00686752,0.0284773,0.0453292,267
-0.00025306,-0.000153613,-6.03937e-05,0.00601862,0.0280608,0.0454574,268
-0.000251411,-0.00012764,-4.22685e-05,0.00519146,0.0275832,0.0456042,269
-0.000220689,-0.000117172,-3.12265e-05,0.00438892,0.0270457,0.0457693,270
-0.000183828,-0.000101211,-1.72203e-05,0.0036138,0.0264496,0.0459519,271
-0.000145952,-8.14924e-05,-4.72657e-06,0.00286881,0.0257961,0.0461513,272
-0.000105892,-6.73249e-05,3.97602e-06,0.00215654,0.0250866,0.0463667,273
-7.33996e-05,-5.24688e-05,-1.02235e-08,0.00147948,0.0243221,0.0465972,274
-4.60559e-05,-3.84605e-05,-2.74719e-07,0.000839994,0.0235038,0.046842,275
-2.45328e-05,-2.25707e-05,1.3161e-07,0.000240314,0.0226321,0.0470999,276
-5.24233e-05,-0.000146611,-0.000103121,0.0113314,0.0296369,0.0459383,277
-9.48784e-05,-0.000169527,-9.61631e-05,0.0104185,0.0295374,0.0459688,278
-0.000149522,-0.000193238,-9.10292e-05,0.00951198,0.0293718,0.0460195,279
-0.000202709,-0.000166809,-8.26801e-05,0.00861505,0.0291406,0.04609,280
-0.000225161,-0.000162115,-7.95462e-05,0.00773082,0.0288443,0.0461802,281
-0.000243156,-0.000163787,-4.92344e-05,0.00686239,0.0284837,0.0462898,282
-0.000246571,-0.000136703,-3.10257e-05,0.00601277,0.0280595,0.0464182,283
-0.000232311,-0.000122803,-2.4506e-05,0.00518496,0.0275727,0.0465652,284
-0.000205629,-0.000109717,-1.64993e-05,0.00438184,0.0270243,0.0467306,285
-0.000171172,-9.26675e-05,-6.60221e-06,0.00360622,0.0264152,0.0469133,286
-0.00013509,-7.66818e-05,6.85167e-07,0.00286082,0.0257466,0.0471125,287
-9.50245e-05,-6.43154e-05,6.55108e-06,0.00214823,0.0250193,0.0473274,288
-6.49033e-05,-4.87506e-05,5.70844e-07,0.00147095,0.024234,0.0475569,289
-5.1964e-05,-0.000134257,-6.08911e-05,0.0112899,0.0296112,0.046899,290
-0.000117054,-0.00015456,-6.0931e-05,0.0103359,0.0295006,0.0469323,291
-0.000156475,-0.000177165,-5.17833e-05,0.00938929,0.0293166,0.0469874,292
-0.000208932,-0.00015391,-5.09422e-05,0.00845358,0.0290597,0.0470639,293
-0.000230107,-0.000142179,-4.39502e-05,0.00753236,0.0287304,0.0471622,294
-0.000239383,-0.000132828,-1.51692e-05,0.00662916,0.0283294,0.0472819,295
-0.000234125,-0.00011868,-8.80979e-06,0.00574742,0.0278576,0.0474217,296
-0.000207106,-0.000109273,-7.19141e-06,0.00489052,0.0273158,0.0475811,297
-0.000179664,-8.99368e-05,1.34537e-06,0.00406172,0.026705,0.0477595,298
-0.000135896,-8.11755e-05,4.33539e-06,0.0032642,0.0260258,0.0479569,299
-3.87529e-05,-0.000127875,-2.8784e-05,0.0113661,0.0295457,0.0478541,300
-0.000104274,-0.000138749,-3.61931e-05,0.0104876,0.0294503,0.0478822,301
-0.000145004,-0.000167044,-1.31354e-05,0.00961476,0.0292915,0.0479288,302
-0.000183049,-0.000162198,-1.94004e-05,0.00875047,0.0290694,0.0479938,303
-0.000209846,-0.000131583,-1.92165e-05,0.00789749,0.0287846,0.0480768,304
-0.00021704,-0.000136322,-8.64641e-07,0.00705858,0.0284374,0.0481776,305
-0.000220163,-0.000112741,1.19236e-06,0.00623647,0.0280282,0.0482957,306
-2.31926e-09,-6.43426e-08,-5.16678e-09,0.0122476,0.0271702,0.0479715,307
-3.15391e-09,-6.63538e-08,-7.22992e-09,0.0131817,0.0271437,0.0479715,308
